Nome	Norte	Este	Elevação	Código
Base_1	7385679.144	330667.745	793.812	
Pt1	7385700.847	330713.345	794.068	gprL
Pt2	7385706.346	330713.371	794.052	gprL
Pt3	7385700.853	330712.801	794.069	gprL
Pt4	7385706.366	330712.801	794.035	gprL
Pt5	7385700.904	330712.296	794.027	gprL
Pt6	7385706.309	330712.434	794.014	gprL
Pt7	7385700.966	330711.773	794.026	gprL
Pt8	7385706.917	330711.815	794.057	gprL
Pt9	7385700.949	330711.240	794.027	gprL
Pt10	7385706.040	330711.423	794.070	gprL
Pt11	7385700.871	330710.738	794.032	gprL
Pt12	7385705.555	330711.147	794.076	gprL
Pt13	7385700.914	330710.270	794.091	gprL
Pt14	7385703.549	330710.433	794.083	gprL
Pt15	7385700.664	330713.086	794.078	gprT
Pt16	7385700.767	330709.825	794.093	gprT
Pt17	7385701.169	330713.166	794.076	gprT
Pt18	7385701.378	330709.797	794.094	gprT
Pt19	7385701.734	330713.169	794.074	gprT
Pt20	7385701.903	330709.825	794.093	gprT
Pt21	7385702.194	330713.160	794.075	gprT
Pt22	7385702.289	330710.053	794.088	gprT
Pt23	7385702.740	330713.217	794.069	gprT
Pt24	7385702.894	330710.181	794.083	gprT
Pt25	7385703.261	330713.048	794.067	gprT
Pt26	7385703.303	330710.298	794.084	gprT
Pt27	7385703.671	330713.273	794.066	gprT
Pt28	7385703.784	330710.379	794.081	gprT
Pt29	7385704.299	330713.170	794.067	gprT
Pt30	7385704.333	330710.593	794.079	gprT
Pt31	7385704.759	330713.157	794.060	gprT
Pt32	7385704.734	330710.763	794.075	gprT
Pt33	7385672.339	330712.764	794.009	gprL
Pt34	7385676.320	330713.538	794.008	gprL
Pt35	7385672.403	330712.172	794.002	gprL
Pt36	7385676.368	330713.020	793.993	gprL
Pt37	7385672.447	330711.666	793.986	gprL
Pt38	7385676.397	330712.163	793.956	gprL
Pt39	7385672.572	330711.196	793.975	gprL
Pt40	7385676.610	330711.668	794.006	gprL
Pt41	7385672.661	330710.702	793.970	gprL
Pt42	7385676.542	330711.128	794.022	gprL
Pt43	7385672.734	330710.195	793.969	gprL
Pt44	7385676.012	330710.734	794.015	gprL
Pt45	7385672.864	330709.480	793.913	gprL
Pt46	7385676.872	330709.719	793.991	gprL
Pt47	7385672.596	330712.672	793.996	gprT
Pt48	7385673.371	330708.906	793.936	gprT
Pt49	7385673.167	330712.761	794.000	gprT
Pt50	7385674.078	330709.166	793.958	gprT
Pt51	7385673.666	330712.837	793.992	gprT
Pt52	7385674.579	330708.954	793.965	gprT
Pt53	7385674.170	330712.957	793.988	gprT
Pt54	7385675.291	330708.661	793.975	gprT
Pt55	7385674.556	330713.068	793.994	gprT
Pt56	7385675.614	330708.809	793.977	gprT
Pt57	7385675.142	330713.170	793.996	gprT
Pt58	7385675.966	330709.168	793.984	gprT
Pt59	7385675.637	330713.243	793.988	gprT
Pt60	7385676.321	330709.175	793.995	gprT
Pt61	7385676.136	330713.238	793.993	gprT
Pt62	7385676.798	330709.417	793.987	gprT
Pt63	7385676.645	330713.379	794.000	gprT
Pt64	7385677.558	330709.327	794.008	gprT
Pt65	7385635.182	330718.485	794.226	gprL
Pt66	7385638.845	330720.520	794.349	gprL
Pt67	7385634.954	330718.962	794.236	gprL
Pt68	7385638.615	330720.955	794.353	gprL
Pt69	7385634.722	330719.429	794.238	gprL
Pt70	7385638.303	330721.282	794.349	gprL
Pt71	7385634.494	330719.913	794.244	gprL
Pt72	7385637.835	330721.751	794.373	gprL
Pt73	7385634.312	330720.309	794.250	gprL
Pt74	7385637.687	330721.990	794.370	gprL
Pt75	7385634.127	330720.836	794.257	gprL
Pt76	7385637.233	330722.306	794.362	gprL
Pt77	7385633.840	330721.203	794.259	gprL
Pt78	7385637.100	330722.823	794.365	gprL
Pt79	7385633.684	330721.680	794.261	gprL
Pt80	7385637.047	330723.550	794.371	gprL
Pt81	7385633.435	330722.121	794.261	gprL
Pt82	7385636.504	330723.894	794.368	gprL
Pt83	7385635.156	330718.229	794.214	gprT
Pt84	7385633.363	330721.995	794.250	gprT
Pt85	7385635.665	330718.351	794.256	gprT
Pt86	7385633.610	330722.693	794.262	gprT
Pt87	7385636.203	330718.630	794.275	gprT
Pt88	7385634.389	330722.308	794.290	gprT
Pt89	7385636.609	330718.862	794.292	gprT
Pt90	7385634.572	330722.758	794.303	gprT
Pt91	7385637.086	330719.106	794.304	gprT
Pt92	7385634.703	330722.942	794.304	gprT
Pt93	7385637.040	330719.118	794.302	gprT
Pt94	7385634.972	330723.038	794.315	gprT
Pt95	7385637.470	330719.357	794.311	gprT
Pt96	7385635.308	330723.474	794.328	gprT
Pt97	7385637.908	330719.659	794.312	gprT
Pt98	7385635.635	330723.515	794.342	gprT
Pt99	7385638.361	330719.875	794.333	gprT
Pt100	7385636.074	330723.637	794.345	gprT
Pt101	7385668.456	330691.294	793.724	gprT
Pt102	7385669.263	330688.027	793.615	gprT
Pt103	7385669.029	330691.442	793.719	gprT
Pt104	7385669.968	330688.057	793.629	gprT
Pt105	7385670.392	330691.806	793.804	gprT
Pt106	7385671.336	330688.555	793.672	gprT
Pt107	7385670.890	330691.958	793.785	gprT
Pt108	7385672.004	330688.410	793.604	gprT
Pt109	7385668.714	330691.050	793.705	gprL
Pt110	7385672.400	330692.029	793.684	gprL
Pt111	7385668.954	330690.463	793.694	gprL
Pt112	7385672.404	330691.369	793.664	gprL
Pt113	7385668.962	330689.073	793.654	gprL
Pt114	7385672.341	330689.646	793.612	gprL
Pt115	7385669.131	330688.071	793.642	gprL
Pt116	7385672.649	330688.800	793.596	gprL
Pt117	7385701.514	330707.797	794.059	gprL
Pt118	7385705.023	330708.794	794.076	gprL
Pt119	7385701.409	330706.996	794.052	gprL
Pt120	7385706.245	330707.932	794.043	gprL
Pt121	7385701.779	330705.770	793.922	gprL
Pt122	7385706.208	330706.507	793.794	gprL
Pt123	7385701.916	330705.142	793.781	gprL
Pt124	7385706.278	330706.198	793.767	gprL
Pt125	7385702.252	330708.485	794.110	gprT
Pt126	7385703.260	330704.974	793.701	gprT
Pt127	7385703.080	330708.658	794.113	gprT
Pt128	7385704.007	330705.215	793.863	gprT
Pt129	7385704.384	330708.863	794.110	gprT
Pt130	7385705.422	330705.190	793.991	gprT
Pt131	7385705.225	330709.047	794.104	gprT
Pt132	7385706.519	330704.958	793.804	gprT
Pt133	7385703.472	330711.488	794.028	spt1
Pt134	7385704.148	330706.591	793.987	spt1b
Pt135	7385674.628	330711.519	793.971	spt2
Pt136	7385635.853	330721.294	794.314	spt3
Pt137	7385670.369	330690.056	793.730	spt3b
